state,income_mean,population,per_capita_income
Johor,8517,4186.3,2.0344934667845114
Kedah,5550,2217.5,2.5028184892897407
Kelantan,4885,1888.5,2.586709028329362
Melaka,8057,1047.1,7.694585044408367
Negeri Sembilan,6788,1240.1,5.473752116764778
Pahang,5777,1668.2,3.4630140270950722
Perak,5779,2569.6,2.248988169364882
Perlis,5664,296.8,19.08355795148248
Pulau Pinang,8267,1800.4,4.591757387247278
Sabah,6171,3742.2,1.6490299823633159
Sarawak,6457,2518.1,2.5642349390413406
Selangor,12233,7363.4,1.6613249314175518
Terengganu,7248,1232.1,5.88263939615291
W.P. Kuala Lumpur,13325,2067.5,6.444981862152358
W.P. Labuan,8250,100.8,81.8452380952381
W.P. Putrajaya,13473,120.3,111.99501246882794
